Facility Name,BeginDate,EndDate,PayerName,Proration,SpclRate,Amount,Pct,Monthly,HospHold,HospHoldAmount,HospPct,HospHoldMonthly,TherLv,TherLvHoldAmount,TherLvPct,TherLvHoldMonthly,
Arlington Place Health Campus HC,3/4/2019,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,12/16/2018,,Medicare A Replacement,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,1/1/2025,12/31/2025,Private HCC,1,1,368,0,0,1,368,0,0,1,368,0,0,
Arlington Place Health Campus HC,7/25/2019,,Insurance Per Diem,0,1,300,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,10/19/2018,,Medicare A Replacement,0,1,306,0,0,0,0,0,0,0,0,0,0,
Arlington Place Health Campus HC,1/1/2026,12/31/2026,Private HCC,1,1,306,0,0,1,306,0,0,1,306,0,0,
Arlington Place Health Campus HC,10/1/2025,12/31/2025,Private HCC,1,1,289,0,0,1,289,0,0,1,289,0,0,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6166,0,1,1,6166,0,1,1,6166,0,1,
Ashford Place Health Campus AL,5/1/2025,12/31/2025,Private AL,2,1,5709,0,1,1,5709,0,1,1,5709,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,8466,0,1,1,8466,0,1,1,8466,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,8063,0,1,1,8063,0,1,1,8063,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6211,0,1,1,6211,0,1,1,6211,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,5859,0,1,1,5859,0,1,1,5859,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,7843,0,1,1,7843,0,1,1,7843,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,7399,0,1,1,7399,0,1,1,7399,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5659,0,1,1,5659,0,1,1,5659,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6211,0,1,1,6211,0,1,1,6211,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,5859,0,1,1,5859,0,1,1,5859,0,1,
Ashford Place Health Campus AL,6/14/2023,,Private AL,3,1,4940,0,1,1,4940,0,1,1,4940,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,7861,0,1,1,7861,0,1,1,7861,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,7487,0,1,1,7487,0,1,1,7487,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Hospice Private,2,1,6211,0,1,1,6211,0,1,1,6211,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Hospice Private,2,1,5859,0,1,1,5859,0,1,1,5859,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6166,0,1,1,6166,0,1,1,6166,0,1,
Ashford Place Health Campus AL,5/1/2025,12/31/2025,Private AL,2,1,5709,0,1,1,5709,0,1,1,5709,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,7333,0,1,1,7333,0,1,1,7333,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,6790,0,1,1,6790,0,1,1,6790,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,7837,0,1,1,7837,0,1,1,7837,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,7464,0,1,1,7464,0,1,1,7464,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6211,0,1,1,6211,0,1,1,6211,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,5859,0,1,1,5859,0,1,1,5859,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,6164,0,1,1,6164,0,1,1,6164,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5655,0,1,1,5655,0,1,1,5655,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Hospice Private,2,1,6156,0,1,1,6156,0,1,1,6156,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,5700,0,1,1,5700,0,1,1,5700,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,7843,0,1,1,7843,0,1,1,7843,0,1,
Ashford Place Health Campus AL,10/1/2025,12/31/2025,Private AL,2,1,7399,0,1,1,7399,0,1,1,7399,0,1,
Ashford Place Health Campus AL,1/1/2025,12/31/2025,Private AL,2,1,7487,0,1,1,7487,0,1,1,7487,0,1,
Ashford Place Health Campus AL,1/1/2026,12/31/2026,Private AL,2,1,7843,0,1,1,7843,0,1,1,7843,0,1,
